YEAR,ENERGY_SOURCE,GENERATION_MWh
2005,Hydroelectric Conventional,"72,074,649"
2005,Natural Gas,"8,578,546"
2005,Nuclear,"8,242,273"
2005,Other,"64,822"
2005,Other Biomass,"190,390"
2005,Other Gases,"321,724"
2005,Petroleum,"67,295"
2005,Pumped Storage,"8,473"
2005,Wind,"498,470"
2005,Wood and Wood Derived Fuels,"1,424,802"
2006,Total,"108,203,155"
2006,Coal,"6,372,823"
2006,Hydroelectric Conventional,"82,007,629"
2006,Natural Gas,"7,495,410"
2006,Nuclear,"9,328,277"
2006,Other,"62,185"
2006,Other Biomass,"184,014"
2006,Other Gases,"348,649"
2006,Petroleum,"38,230"
2006,Pumped Storage,"47,099"
2006,Wind,"1,037,651"
2006,Wood and Wood Derived Fuels,"1,281,189"
2007,Total,"106,990,217"
2007,Coal,"8,556,816"
2007,Hydroelectric Conventional,"78,829,195"
2007,Natural Gas,"7,287,394"
2007,Nuclear,"8,108,560"
2007,Other,"62,370"
2007,Other Biomass,"176,351"
2007,Other Gases,"333,773"
2007,Petroleum,"37,042"
2007,Pumped Storage,"44,512"
2007,Wind,"2,437,823"
2007,Wood and Wood Derived Fuels,"1,116,380"
2008,Total,"110,828,451"
2008,Coal,"8,761,644"
2008,Hydroelectric Conventional,"77,636,758"
2008,Natural Gas,"9,809,354"
2008,Nuclear,"9,269,639"
2008,Other,"56,377"
2008,Other Biomass,"167,881"
2008,Other Gases,"272,339"
2008,Petroleum,"35,189"
2008,Pumped Storage,"48,713"
2008,Solar Thermal and Photovoltaic,0
2008,Wind,"3,657,484"
2008,Wood and Wood Derived Fuels,"1,113,073"
2009,Total,"104,470,133"
2009,Coal,"7,477,773"
2009,Hydroelectric Conventional,"72,932,704"
2009,Natural Gas,"11,971,141"
2009,Nuclear,"6,634,014"
2009,Other,"58,956"
2009,Other Biomass,"167,023"
2009,Other Gases,"244,888"
2009,Petroleum,"53,604"
2009,Pumped Storage,"52,383"
2009,Solar Thermal and Photovoltaic,0
2009,Wind,"3,572,486"
2009,Wood and Wood Derived Fuels,"1,305,162"
2010,Total,"103,472,729"
2010,Coal,"8,526,933"
2010,Hydroelectric Conventional,"68,288,383"
2010,Natural Gas,"10,359,235"
2010,Nuclear,"9,241,133"
2010,Other,"62,259"
2010,Other Biomass,"196,370"
2010,Other Gases,"292,019"
